"x","y","p_avg","SOC","MAP","MAT","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","EROIDX","TCEQ","CACO3"
-103.752528,38.242472,141,5.837000012,292.4830627,11.47787571,427.8009338,224.6254425,8.015134811,1,7,65,65535,0.904923478,1387.595215,10,3.20000004768372,17,115
-103.752528,38.242472,46.56425,5.837000012,292.4830627,11.47787571,427.8009338,224.6254425,8.015134811,1,7,65,65535,0.904923478,1387.595215,10,3.20000004768372,17,115
-102.357079,33.971371,6.4054,5,477.1902771,14.83446407,561.4146729,225.5249023,7.825417519,1,10,65,65535,0.107058935,1064.88855,5,3.20000004768372,99,137
-102.245389,38.055389,16.20000076,5.692999959,378.8783264,11.3535881,369.0404968,227.9776611,7.908039093,1,7,65,65535,0.697646468,1166.03894,10,1.20000004768372,17,269
-102.16942,49.22788,9.978,15.80699921,437.8658447,3.179414272,422.1601257,231.4036255,7.279645443,3,9,65,3613,0.320667022,575.0710449,11,1.5,0,56
-101.794052,38.553555,13.88,12.54999995,440.027771,11.31396103,390.6748352,208.7972565,7.725648403,1,9,65,2523,0.410959428,1101.658325,5,3.20000004768372,27,0
-100.658306,38.309778,19.4393,12.69999981,502.9811096,11.98855782,339.2958679,227.4081268,7.581483364,1,9,65,2446,0.295675607,884.9923096,5,3.20000004768372,27,821
-93.8789,33.9386,10.45,10.92400074,1311.018311,16.70924568,355.0778503,197.2798615,5.571831226,5,8,65,65535,0.633997079,105.3106232,6,3.20000004768372,0,0
-93.8789,33.9386,10.205,10.92400074,1311.018311,16.70924568,355.0778503,197.2798615,5.571831226,5,8,65,65535,0.633997079,105.3106232,6,3.20000004768372,0,0
-93.8722,34.0367,17.31,10.41599989,1446.131348,15.64450932,369.6966858,165.9568024,5.456457615,3,8,65,65535,1.650132341,219.4127045,6,1.39999997615814,0,44
-93.8064,35.7592,18.78,9.977999926,1223.792236,14.15979767,352.5215149,174.8865967,5.348409653,3,8,65,65535,3.118882159,447.4180298,6,1.39999997615814,0,4
-93.8064,35.7592,17.6775,9.977999926,1223.792236,14.15979767,352.5215149,174.8865967,5.348409653,3,8,65,65535,3.118882159,447.4180298,6,1.39999997615814,0,4
-93.7681,35.6786,11.136,9.977999926,1223.792236,14.15979767,352.5215149,174.8865967,5.348409653,3,8,65,65535,3.118882159,447.4180298,6,1.39999997615814,0,4
-93.767197,40.839695,3.263999977,16.79999948,911.125,10.23259735,178.8308411,262.9881592,6.122993946,5,9,65,5081,0.768684176,322.7891541,6,1.20000004768372,0,4
-93.767197,40.839695,3.0204,16.79999948,911.125,10.23259735,178.8308411,262.9881592,6.122993946,5,9,65,5081,0.768684176,322.7891541,6,1.20000004768372,0,4
-93.4793,34.7953,3.1,10,1352.541382,15.47447586,370.3128662,173.4921112,5.419924736,3,8,65,65535,2.219495557,219.0188751,6,1.39999997615814,0,44
-93.4778,35.4514,11.43,10.13599992,1206.698853,15.64982986,348.5761719,176.6141205,5.596652985,3,9,65,65535,2.743491515,198.8521271,5,1.39999997615814,0,3
-93.4778,35.4514,10.5725,10.13599992,1206.698853,15.64982986,348.5761719,176.6141205,5.596652985,3,9,65,65535,2.743491515,198.8521271,5,1.39999997615814,0,3
-93.1622,34.7711,6.824,10,1352.541382,15.47447586,370.3128662,173.4921112,5.419924736,3,8,65,65535,2.219495557,219.0188751,6,1.39999997615814,0,44
-93.161,33.388,14.958,9.959999919,1301.147827,17.17082214,384.3279114,151.7830658,5.045689583,1,8,65,65535,0.479979859,81.94342041,5,3.20000004768372,0,8
-93.161,33.39,17.114,9.959999919,1301.147827,17.17082214,384.3279114,151.7830658,5.045689583,1,8,65,65535,0.479979859,81.94342041,5,3.20000004768372,0,8
-92.24722,33.86361,6.6525,9.800000191,1350.008301,16.82195473,344.5997314,153.6182556,5.121402264,1,8,65,2186,0.373172168,61.1739006,5,1.20000004768372,0,0
-92.2461,34.2394,5.55,9.962000251,1330.902466,16.73753548,338.4909668,161.1118622,5.273218632,5,8,65,65535,0.407197594,79.77422333,5,3.20000004768372,0,5
-91.2528,34.9514,14.3945,12.82799959,1273.159668,16.46356201,168.4078979,221.7370758,5.869091034,1,10,65,5583,0.01238975,59.31831741,5,3.20000004768372,0,0
-91.2464,34.8039,13.145,12.82799959,1273.159668,16.46356201,168.4078979,221.7370758,5.869091034,1,10,65,5583,0.01238975,59.31831741,5,3.20000004768372,0,0
-91.2464,34.8039,9.764,12.82799959,1273.159668,16.46356201,168.4078979,221.7370758,5.869091034,1,10,65,5583,0.01238975,59.31831741,5,3.20000004768372,0,0
-91.2459,34.8031,24.905,12.82799959,1273.159668,16.46356201,168.4078979,221.7370758,5.869091034,1,10,65,5583,0.01238975,59.31831741,5,3.20000004768372,0,0
-90.6192,35.8493,3.149,10.52399993,1215.390869,15.71920586,216.7559967,191.720459,5.835303783,1,11,65,4765,0.210976715,80.26147461,5,3.20000004768372,0,2
-90.6189,34.7203,29.56,8.758999705,1320.645874,16.37393379,200.7238159,206.1773834,5.954945087,1,11,65,65535,0.129349347,61.23580933,5,3.20000004768372,0,2
-90.6189,34.7203,26.7425,8.758999705,1320.645874,16.37393379,200.7238159,206.1773834,5.954945087,1,11,65,65535,0.129349347,61.23580933,5,3.20000004768372,0,2
-90.41056,36.03861,17.31,10.10900021,1236.683105,15.05773258,304.8588562,175.9621277,5.892930984,1,11,65,4870,0.172201633,87.27827454,5,3.20000004768372,0,89
-90.41,36.43194,15.35,10.10900021,1236.683105,15.05773258,304.8588562,175.9621277,5.892930984,1,11,65,4870,0.172201633,87.27827454,5,3.20000004768372,0,89
-90.2656,35.8278,48.18,9.704999924,1238.974121,15.74622536,316.6650391,254.6792908,6.073615074,1,10,65,65535,0.04252359,75.1184082,5,3.20000004768372,0,0
-90.1531,35.9831,58.3475,9.704999924,1238.974121,15.74622536,316.6650391,254.6792908,6.073615074,1,10,65,65535,0.04252359,75.1184082,5,3.20000004768372,0,0
-89.7575,20.411667,6.089,75.99999905,1093.328857,25.61382294,358.2618103,446.9068604,7.361391544,6,10,65,0,0.489039759,54.18170166,12,1,247,1159
-86.890833,37.947556,14.86,9.742999673,1212.41333,13.24752331,190.0502014,172.7196655,5.704835892,3,9,65,65535,0.973694251,157.4766083,6,1.39999997615814,0,180
-86.633056,38.396694,12.41,9.855999947,1174.926147,12.75400448,188.9148254,169.890213,5.632111549,3,8,65,65535,1.059363368,175.6489258,6,1.39999997615814,0,314
-86.626158,38.964203,6.824,9.430999756,1168.043335,12.12911892,195.8161316,171.0037231,5.703784466,3,10,65,5099,1.090976991,187.2068176,6,1.39999997615814,0,119
-86.609536,38.947483,13.39,9.430999756,1168.043335,12.12911892,195.8161316,171.0037231,5.703784466,3,10,65,5099,1.090976991,187.2068176,6,1.39999997615814,0,119
-86.56375,40.229161,58.47,10.17799973,985.0794678,10.51614094,241.5887604,208.326416,6.218206882,5,9,65,65535,0.181764835,234.7861481,6,1.5,0,810
-86.524881,40.369339,55.53,10.17799973,985.0794678,10.51614094,241.5887604,208.326416,6.218206882,5,9,65,65535,0.181764835,234.7861481,6,1.5,0,810
-85.274111,43.128528,12.54685,20.89999914,867.6005859,7.8974967,568.7833252,136.9200287,6.029355526,3,3,65,5959,0.465105566,267.8095703,6,1.5,0,1056
