NO.,Databases,Original.reference,Year,LONGITUDE,LATITUDE,MAT,MAP,AI,ELEVATION,VEGETATION,DEPTH,CLAY,SILT,SAND,BDENSITY,PH,CEC,SOC,TN,C_N,TOTAL_P
2705,Hou unpublished,Li 2013,2013,101.33867,37.65717,-0.5,467,0.6972,3320,GRASSLAND,15,,,,0.85,,,40.5,1.13,35.84070796,9630
2706,Hou unpublished,Li 2013,2013,101.33867,37.65717,-0.5,467,0.6972,3320,GRASSLAND,30,,,,1.16,,,47.1,1.28,36.796875,9120
2707,Hou unpublished,Li 2013,2013,101.1452,37.3763,-3.4,475,0.9179,3892,GRASSLAND,5,,,,0.91,,,40,1.09,36.69724771,9020
2708,Hou unpublished,Li 2013,2013,101.1452,37.3763,-3.4,475,0.9179,3892,GRASSLAND,15,,,,0.88,,,40.5,0.92,44.02173913,8510
2709,Hou unpublished,Li 2013,2013,101.3433,37.67917,-1.7,469,0.7269,3529,GRASSLAND,5,,,,0.8,,,66,1.46,45.20547945,8200
2710,Hou unpublished,Li 2013,2013,101.1452,37.3763,-3.4,475,0.9179,3892,GRASSLAND,30,,,,1.12,,,34.8,0.84,41.42857143,7710
2711,Hou unpublished,Li 2013,2013,101.3433,37.67917,-1.7,469,0.7269,3529,GRASSLAND,15,,,,0.94,,,50.3,1.25,40.24,7540
2712,Hou unpublished,Li 2013,2013,101.215,37.4038,-2.2,472,0.8303,3672,GRASSLAND,5,,,,1.38,,,40.4,0.98,41.2244898,7310
2713,Hou unpublished,Li 2013,2013,101.215,37.4038,-2.2,472,0.8303,3672,GRASSLAND,15,,,,0.91,,,44.2,0.9,49.11111111,7030
2714,Hou unpublished,Li 2013,2013,101.3433,37.67917,-1.7,469,0.7269,3529,GRASSLAND,30,,,,1.17,,,34.9,0.85,41.05882353,6720
2715,Hou unpublished,Li 2013,2013,101.215,37.4038,-2.2,472,0.8303,3672,GRASSLAND,30,,,,1.18,,,20.7,0.54,38.33333333,5850
